视频 output1.avi 检测结果统计:
帧 1041: purple球
帧 1042: purple球
帧 1043: purple球
帧 1044: purple球
帧 1045: purple球
帧 1046: purple球
帧 1047: 无球
帧 1048: 无球
帧 1049: 无球
帧 1050: purple球
帧 1051: 无球
帧 1052: 无球
帧 1053: 无球
帧 1054: 无球
帧 1055: 无球
帧 1056: 无球
帧 1057: 无球
帧 1058: 无球
帧 1059: 无球
帧 1060: 无球
帧 1061: 无球
帧 1062: 无球
帧 1063: 无球
帧 1064: 无球
帧 1065: 无球
帧 1066: 无球
帧 1067: 无球
帧 1068: 无球
帧 1069: 无球
帧 1070: 无球
帧 1071: 无球
帧 1072: 无球
帧 1073: 无球
帧 1074: 无球
帧 1075: 无球
帧 1076: 无球
帧 1077: 无球
帧 1078: 无球
帧 1079: 无球
帧 1080: 无球
帧 1081: 无球
帧 1082: 无球
帧 1083: 无球
帧 1084: 无球
帧 1085: 无球
帧 1086: 无球
帧 1087: 无球
帧 1088: 无球
帧 1089: 无球
帧 1090: 无球
帧 1091: 无球
帧 1092: 无球
帧 1093: 无球
帧 1094: 无球
帧 1095: 无球
帧 1096: 无球
帧 1097: 无球
帧 1098: 无球
帧 1099: 无球
帧 1100: 无球
帧 1101: 无球
帧 1102: 无球
帧 1103: 无球
帧 1104: 无球
帧 1105: 无球
帧 1106: 无球
帧 1107: 无球
帧 1108: 无球
帧 1109: 无球
帧 1110: 无球
帧 1111: 无球
帧 1112: 无球
帧 1113: 无球
帧 1114: 无球
帧 1115: 无球
帧 1116: 无球
帧 1117: 无球
帧 1118: 无球
帧 1119: 无球
帧 1120: 无球
帧 1121: 无球
帧 1122: 无球
帧 1123: 无球
帧 1124: 无球
帧 1125: 无球
帧 1126: 无球
帧 1127: 无球
帧 1128: 无球
帧 1129: 无球
帧 1130: 无球
帧 1131: 无球
帧 1132: 无球
帧 1133: 无球
帧 1134: 无球
帧 1135: 无球
帧 1136: 无球
帧 1137: 无球
帧 1138: 无球
帧 1139: 无球
帧 1140: 无球
帧 1141: 无球
帧 1142: 无球
帧 1143: 无球
帧 1144: 无球
帧 1145: 无球
帧 1146: 无球
帧 1147: 无球
帧 1148: 无球
帧 1149: 无球
帧 1150: 无球
帧 1151: 无球
帧 1152: 无球
帧 1153: 无球
帧 1154: 无球
帧 1155: 无球
帧 1156: 无球
帧 1157: 无球
帧 1158: 无球
帧 1159: 无球
帧 1160: 无球
帧 1161: 无球
帧 1162: 无球
帧 1163: 无球
帧 1164: 无球
帧 1165: 无球
帧 1166: 无球
帧 1167: 无球
帧 1168: 无球
帧 1169: 无球
帧 1170: 无球
帧 1171: 无球
帧 1172: 无球
帧 1173: 无球
帧 1174: 无球
帧 1175: 无球
帧 1176: 无球
帧 1177: 无球
帧 1178: 无球
帧 1179: 无球
帧 1180: 无球
帧 1181: 无球
帧 1182: 无球
帧 1183: 无球
帧 1184: 无球
帧 1185: 无球
帧 1186: 无球
帧 1187: 无球
帧 1188: 无球
帧 1189: 无球
帧 1190: 无球
帧 1191: 无球
帧 1192: 无球
帧 1193: 无球
帧 1194: 无球
帧 1195: 无球
帧 1196: 无球
帧 1197: 无球
帧 1198: 无球
帧 1199: 无球
帧 1200: 无球
帧 1201: 无球
帧 1202: 无球
帧 1203: 无球
帧 1204: 无球
帧 1205: 无球
帧 1206: 无球
帧 1207: 无球
帧 1208: 无球
帧 1209: 无球
帧 1210: 无球
帧 1211: 无球
帧 1212: 无球
帧 1213: 无球
帧 1214: 无球
帧 1215: 无球
帧 1216: 无球
帧 1217: 无球
帧 1218: 无球
帧 1219: 无球
帧 1220: 无球
帧 1221: 无球
帧 1222: 无球
帧 1223: 无球
帧 1224: 无球
帧 1225: 无球
帧 1226: 无球
帧 1227: 无球
帧 1228: 无球
帧 1229: 无球
帧 1230: 无球
帧 1231: 无球
帧 1232: 无球
帧 1233: 无球
帧 1234: 无球
帧 1235: 无球
帧 1236: 无球
帧 1237: 无球
帧 1238: 无球
帧 1239: 无球
帧 1240: 无球
帧 1241: 无球
帧 1242: 无球
帧 1243: 无球
帧 1244: 无球
帧 1245: 无球
帧 1246: 无球
帧 1247: 无球
帧 1248: 无球
帧 1249: 无球
帧 1250: 无球
帧 1251: 无球
帧 1252: 无球
帧 1253: 无球
帧 1254: 无球
帧 1255: 无球
帧 1256: 无球
帧 1257: 无球
帧 1258: 无球
帧 1259: 无球
帧 1260: 无球
帧 1261: 无球
帧 1262: 无球
帧 1263: 无球
帧 1264: 无球
帧 1265: 无球
帧 1266: 无球
帧 1267: 无球
帧 1268: 无球
帧 1269: 无球
帧 1270: 无球
帧 1271: 无球
帧 1272: 无球
帧 1273: 无球
帧 1274: 无球
帧 1275: 无球
帧 1276: 无球
帧 1277: 无球
帧 1278: 无球
